#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism Name Interactor A	Organism ID Interactor B	Organism Name Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types
614371	4961494	6885	1776997	112748	HHV8GK18_gp80	RP1-154G14.1	HHV8GK18_gp80	MAP3K7	-	MEKK7|TAK1|TGF1a	Affinity Capture-Western	physical	Bottero V (2011)	PUBMED:21159881	37296	Human Herpesvirus 8	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	F5HEZ4	Q76RF1	YP_001129429	O43318	-	NP_663306|NP_003179|NP_663304|NP_663305	-	-	-	-	-	-
614372	4961494	6885	1776997	112748	HHV8GK18_gp80	RP1-154G14.1	HHV8GK18_gp80	MAP3K7	-	MEKK7|TAK1|TGF1a	Co-localization	physical	Bottero V (2011)	PUBMED:21159881	37296	Human Herpesvirus 8	9606	Homo sapiens	Low Throughput	-	-	-	-	BIOGRID	F5HEZ4	Q76RF1	YP_001129429	O43318	-	NP_663306|NP_003179|NP_663304|NP_663305	-	-	-	-	-	-
658123	4961493	5204	1776996	111226	HHV8GK18_gp64	-	vIRF-3	PFDN5	-	MM-1|MM1|PFD5	Two-hybrid	physical	Lubyova B (2007)	PUBMED:17728244	37296	Human Herpesvirus 8	9606	Homo sapiens	Low Throughput	-	-	data not shown. yeast two-hybrid mentioned in text of page 3.	-	BIOGRID	F5HIC6	Q9DUN1	YP_001129413	Q99471	-	NP_665904|NP_002615	-	-	-	-	-	-
658124	4961493	5204	1776996	111226	HHV8GK18_gp64	-	vIRF-3	PFDN5	-	MM-1|MM1|PFD5	Affinity Capture-Western	physical	Lubyova B (2007)	PUBMED:17728244	37296	Human Herpesvirus 8	9606	Homo sapiens	Low Throughput	-	-	figure 2B.|figure 2D.	-	BIOGRID	F5HIC6	Q9DUN1	YP_001129413	Q99471	-	NP_665904|NP_002615	-	-	-	-	-	-
658125	5204	4961493	111226	1776996	-	HHV8GK18_gp64	PFDN5	vIRF-3	MM-1|MM1|PFD5	-	Affinity Capture-Western	physical	Lubyova B (2007)	PUBMED:17728244	9606	Homo sapiens	37296	Human Herpesvirus 8	Low Throughput	-	-	figure 2.|figure 2C.|figure 3.	-	BIOGRID	Q99471	-	NP_665904|NP_002615	F5HIC6	Q9DUN1	YP_001129413	-	-	-	-	-	-
669512	4961462	3065	1776965	109315	HHV8GK18_gp54	RP4-811H24.2	K8	HDAC1	-	GON-10|HD1|RPD3|RPD3L1	Affinity Capture-Western	physical	Martinez FP (2012)	PUBMED:22416134	37296	Human Herpesvirus 8	9606	Homo sapiens	Low Throughput	-	-	figure 3A.	-	BIOGRID	Q2HR82	-	YP_001129403	Q13547	Q6IT96	NP_004955	-	-	-	-	-	-
669513	4961462	3066	1776965	109316	HHV8GK18_gp54	-	K8	HDAC2	-	HD2|RPD3|YAF1	Affinity Capture-Western	physical	Martinez FP (2012)	PUBMED:22416134	37296	Human Herpesvirus 8	9606	Homo sapiens	Low Throughput	-	-	figure 3A.|figure 4A.	-	BIOGRID	Q2HR82	-	YP_001129403	Q92769	-	NP_001518	-	-	-	-	-	-
669514	3065	4961462	109315	1776965	RP4-811H24.2	HHV8GK18_gp54	HDAC1	K8	GON-10|HD1|RPD3|RPD3L1	-	Affinity Capture-Western	physical	Martinez FP (2012)	PUBMED:22416134	9606	Homo sapiens	37296	Human Herpesvirus 8	Low Throughput	-	-	figure 3A.	-	BIOGRID	Q13547	Q6IT96	NP_004955	Q2HR82	-	YP_001129403	-	-	-	-	-	-
669515	3066	4961462	109316	1776965	-	HHV8GK18_gp54	HDAC2	K8	HD2|RPD3|YAF1	-	Affinity Capture-Western	physical	Martinez FP (2012)	PUBMED:22416134	9606	Homo sapiens	37296	Human Herpesvirus 8	Low Throughput	-	-	figure 3A.|figure 4A.	-	BIOGRID	Q92769	-	NP_001518	Q2HR82	-	YP_001129403	-	-	-	-	-	-
669519	4961462	3066	1776965	109316	HHV8GK18_gp54	-	K8	HDAC2	-	HD2|RPD3|YAF1	Two-hybrid	physical	Martinez FP (2012)	PUBMED:22416134	37296	Human Herpesvirus 8	9606	Homo sapiens	Low Throughput	-	-	figure 5.	-	BIOGRID	Q2HR82	-	YP_001129403	Q92769	-	NP_001518	-	-	-	-	-	-
